"","x"
"1","ALL"
"2","ALL"
"3","ALL"
"4","ALL"
"5","ALL"
"6","ALL"
"7","ALL"
"8","ALL"
"9","ALL"
"10","ALL"
"11","ALL"
"12","ALL"
"13","ALL"
"14","ALL"
"15","ALL"
"16","ALL"
"17","ALL"
"18","ALL"
"19","ALL"
"20","ALL"
"21","AML"
"22","AML"
"23","AML"
"24","AML"
"25","AML"
"26","AML"
"27","AML"
"28","AML"
"29","AML"
"30","AML"
"31","AML"
"32","AML"
"33","AML"
"34","AML"
"35","ALL"
"36","ALL"
"37","ALL"
"38","ALL"
"39","ALL"
"40","ALL"
"41","ALL"
"42","ALL"
"43","ALL"
"44","ALL"
"45","ALL"
"46","ALL"
"47","ALL"
"48","ALL"
"49","ALL"
"50","ALL"
"51","ALL"
"52","ALL"
"53","ALL"
"54","ALL"
"55","ALL"
"56","ALL"
"57","ALL"
"58","ALL"
"59","ALL"
"60","ALL"
"61","ALL"
"62","AML"
"63","AML"
"64","AML"
"65","AML"
"66","AML"
"67","AML"
"68","AML"
"69","AML"
"70","AML"
"71","AML"
"72","AML"
