"","x"
"1","Tumor"
"2","Tumor"
"3","Tumor"
"4","Tumor"
"5","Tumor"
"6","Tumor"
"7","Tumor"
"8","Tumor"
"9","Tumor"
"10","Tumor"
"11","Tumor"
"12","Tumor"
"13","Tumor"
"14","Tumor"
"15","Tumor"
"16","Tumor"
"17","Tumor"
"18","Tumor"
"19","Tumor"
"20","Tumor"
"21","Tumor"
"22","Tumor"
"23","Tumor"
"24","Tumor"
"25","Tumor"
"26","Tumor"
"27","Tumor"
"28","Tumor"
"29","Tumor"
"30","Tumor"
"31","Tumor"
"32","Tumor"
"33","Tumor"
"34","Tumor"
"35","Tumor"
"36","Tumor"
"37","Tumor"
"38","Tumor"
"39","Tumor"
"40","Tumor"
"41","Tumor"
"42","Tumor"
"43","Tumor"
"44","Tumor"
"45","Tumor"
"46","Tumor"
"47","Tumor"
"48","Tumor"
"49","Tumor"
"50","Tumor"
"51","Tumor"
"52","Tumor"
"53","Normal"
"54","Normal"
"55","Normal"
"56","Normal"
"57","Normal"
"58","Normal"
"59","Normal"
"60","Normal"
"61","Normal"
"62","Normal"
"63","Normal"
"64","Normal"
"65","Normal"
"66","Normal"
"67","Normal"
"68","Normal"
"69","Normal"
"70","Normal"
"71","Normal"
"72","Normal"
"73","Normal"
"74","Normal"
"75","Normal"
"76","Normal"
"77","Normal"
"78","Normal"
"79","Normal"
"80","Normal"
"81","Normal"
"82","Normal"
"83","Normal"
"84","Normal"
"85","Normal"
"86","Normal"
"87","Normal"
"88","Normal"
"89","Normal"
"90","Normal"
"91","Normal"
"92","Normal"
"93","Normal"
"94","Normal"
"95","Normal"
"96","Normal"
"97","Normal"
"98","Normal"
"99","Normal"
"100","Normal"
"101","Normal"
"102","Normal"
